	description
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__	order
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__	order
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__	order
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	order
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87	order
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	order
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Z20	order
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	order
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	order
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	order
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	order
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__ASSO-13	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Gallionellales	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	order
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__FAC87	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GMD14H09	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j	order
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	order
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HOC36	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	order
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	order
k__Bacteria;p__SR1;c__;o__	order
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	order
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales]	order
k__Bacteria;p__Spirochaetes;c__[Brevinematae];o__[Brevinematales]	order
k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales]	order
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	order
k__Bacteria;p__TM6;c__SJA-4;o__	order
k__Bacteria;p__TM7;c__TM7-3;o__	order
k__Bacteria;p__TM7;c__TM7-3;o__CW040	order
k__Bacteria;p__TM7;c__TM7-3;o__I025	order
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	order
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	order
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	order
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	order
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	order
k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales	order
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales]	order
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41	order
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	order
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales]	order
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales]	order
k__Bacteria;p__WPS-2;c__;o__	order
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales	order
k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales	order
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	family
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae	family
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	family
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	family
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	family
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	family
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424	family
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	family
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	family
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__	family
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae	family
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075	family
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__	family
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	family
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111	family
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae	family
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Jonesiaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiopsaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Ruaniaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Tsukamurellaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae	family
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	family
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	family
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__	family
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae	family
k__Bacteria;p__Actinobacteria;c__OPB41;o__;f__	family
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae	family
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__AK1AB1_02E	family
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	family
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	family
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae	family
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae]	family
k__Bacteria;p__BRC1;c__PRR-11;o__;f__	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__GZKB119	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__SB-1	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	family
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5	family
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae	family
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	family
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae	family
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae	family
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	family
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	family
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__	family
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	family
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__;f__	family
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__Rhodothermaceae	family
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__[Balneolaceae]	family
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	family
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae	family
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae	family
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae	family
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__	family
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b	family
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__	family
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__	family
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__	family
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__	family
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	family
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__	family
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Chlamydomonadaceae	family
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__	family
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	family
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__;f__	family
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae	family
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae	family
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae	family
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Acaryochloridaceae	family
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae	family
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae	family
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__	family
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae	family
